source_id,designation,ra,dec,phot_g_mean_mag,parallax,bp_rp,ph_qual,j_m,h_m,ks_m
605038438194455040,08540876+1214385,133.53644274148172,12.244015124971892,13.849899,1.2628479499427336,0.8438778,AAA,12.795,12.487,12.44
605002944585123968,08514577+1217052,132.94073352381454,12.284794709962112,11.045901,0.7176318700084365,1.1786642,AAA,9.548,9.056,8.902
604994904406431360,08501807+1217166,132.57526796884397,12.28791364825093,13.17542,0.7725153339759109,0.7322607,AAA,12.272,11.983,11.939
605008957539330816,08515260+1218538,132.96913972313394,12.314941024524412,12.348717,0.265256895089377,1.4631815,AAA,10.478,9.797,9.633
605009949676900352,08513862+1220141,132.91088699683638,12.337297328829862,12.697912,1.167490616534254,1.0938492,AAA,11.298,10.866,10.791
605057370410199552,08542460+1223444,133.60247648461566,12.3957077218875,13.37883,2.0649272003052803,0.82751656,AAA,12.283,11.95,11.889
605106917152970112,08523987+1230357,133.16609491589864,12.509913097740068,12.154999,2.731091466442152,0.72537994,AAA,11.204,10.946,10.895
598662267185815168,08514248+1050517,132.92699066881812,10.847735027424289,13.692954,0.7037887135747246,1.0464935,AAA,12.363,11.878,11.864
598664260050633984,08513551+1056541,132.89796620331197,10.948361997995578,13.763751,0.7157611216999545,0.62529564,AAA,12.943,12.746,12.67
598624437113819520,08523047+1059030,133.12697860742088,10.984115973713626,13.550386,1.5832017649406265,0.7627287,AAA,12.555,12.295,12.26
598669650234342656,08514539+1102221,132.93911029088642,11.039474340119046,12.366621,1.8509299602786056,0.6797247,AAA,11.484,11.267,11.222
598849596479562752,08500047+1105226,132.50197977423795,11.089566114722697,11.712419,0.594787428110692,1.2743292,AAA,10.083,9.554,9.403
598880863841395456,08501989+1121305,132.58274281666792,11.358474534099894,9.22126,3.051698816084345,0.3861456,AAA,8.715,8.607,8.566
604689961727982336,08535450+1122322,133.47709414834108,11.37565344028996,13.296101,1.3349181489927298,0.7957535,AAA,12.303,12.018,11.967
598919312388563584,08480029+1123356,132.00121358314146,11.39325133483982,12.502362,1.0476416742563903,0.8595333,AAA,11.398,11.082,10.984
604691022584872832,08534725+1124504,133.44686827167598,11.41402214430478,13.988441,0.8299849195380646,0.64443207,AAA,13.14,12.922,12.878
598885738628962432,08510600+1125454,132.77495621844088,11.429279374425027,13.397335,1.2302463529123318,0.7503891,AAA,12.411,12.171,12.116
604703052788343296,08522003+1127362,133.08341951956004,11.460060090955055,12.240408,1.1764006095470585,1.1248617,AAA,10.839,10.383,10.253
604891923975026816,08515287+1129567,132.97026647119128,11.499108851098631,13.063472,1.0905656099421337,0.73351,AAA,12.12,11.873,11.802
604669341589319296,08550235+1130094,133.7598150778067,11.50259068497124,13.392462,0.9974450193413262,0.61402416,AAA,12.591,12.37,12.291
604707343460594048,08532468+1131303,133.35281987616312,11.525055940035964,10.412229,0.9248368026949636,1.6136198,AAA,8.4,7.713,7.55
604891550313644672,08514236+1132069,132.92644772978355,11.535298813955473,13.050789,1.1928781905188317,0.7391615,AAA,12.174,11.86,11.802
604896395036758528,08512993+1135112,132.87466139670332,11.586422750222024,12.576983,1.1767322900760782,0.74893,AAA,11.62,11.366,11.317
604712158118974080,08530818+1136440,133.2840537867722,11.612214220121189,13.350185,1.862545538965649,0.81017303,AAA,12.317,12.035,11.985
604897631987335296,08512648+1138368,132.8602897050583,11.6435687214845,13.536232,1.1444482936268856,0.7390928,AAA,12.596,12.365,12.251
604899831010539904,08520629+1138411,133.02616909433013,11.644733801183666,13.292193,1.3099237661059129,0.7456989,AAA,12.315,12.054,11.992
598956970661777792,08490942+1140460,132.28923099990658,11.67941550944402,13.6157875,1.3067261313184322,0.7695322,AAA,12.604,12.297,12.241
604910001493155584,08510951+1141449,132.78956168903517,11.695828299801674,12.601999,1.2237860664089295,0.9179535,AAA,11.445,11.102,10.997
598966213431423488,08475235+1142430,131.96804535285182,11.711931530201056,12.81342,2.0898732982170305,0.83782196,AAA,11.749,11.465,11.386
604902167472726784,08521868+1143246,133.0778133194612,11.723495850329517,12.536666,1.1919295679244553,0.739871,AAA,11.59,11.352,11.259
604910443873993600,08511833+1143251,132.82635064638183,11.723653029684678,13.27827,1.133188255371952,0.7482071,AAA,12.343,12.046,12.012
